Name,Address,Phone,Website,Emails,POS Systems,Reservation Platforms
The Best Breakfast Tacos in Dallas,,,,,,
Resident Taqueria,"9661 Audelia Rd (at Walnut Hill Ln.), Dallas, TX 75238",(972) 685-5280,http://www.residenttaqueria.com/,"jobs@residenttaqueria.comcontact, info@residenttaqueria.com, catering@residenttaqueria.com",,
El Paisa,"10091 Harry Hines Blvd, Dallas, TX 75220",(214) 366-9789,http://www.elpaisacocina.com,,,
Jose,"4931 W Lovers Ln, Dallas, TX 75209",(214) 891-5673,http://www.jose.mx/,"events@jose.mx, Info@Jose.MXSunday",Toast,OpenTable
Rusty Taco,"4802 Greenville Ave (at E University Bl), Dallas, TX 75206",(214) 613-0508,https://rustytaco.com/,,,
El Come Taco,"2513 N Fitzhugh Ave, Dallas, TX 75204",(214) 821-3738,http://elcometaco.com,,Square,
Tacos Y Mas,"5419 Ross Ave (Greenville Avenue), Dallas, TX 75206",(214) 824-8079,http://www.tacosymasdallas.com,,,
Tacos la Banqueta,"1305 N Carroll Ave, Dallas, TX 75204",(214) 823-1260,https://www.tacoslabanquetapurodf.com,labanquetainc@gmail.com,Clover,
Taco Joint,"911 N Peak St, Dallas, TX 75204",(214) 826-8226,http://www.thetacojoint.com,,Toast,
Salsa Limon,"411 N Akard St (Patterson), Dallas, TX 75201",(972) 803-4388,http://www.salsalimon.com/contact-locations,,,
El Mero Mero Tamalero,"920 S Harwood St, Dallas, TX 75201",(214) 741-7617,https://dallasfarmersmarket.org/directory/el-mero-mero/,,,
Laredo Taco Company,"1805 Sylvan Ave (I30), Dallas, TX 75208",(214) 533-4708,https://www.laredotacocompany.com,,,
Cesar's Tacos,"2919 W Davis St (at N. Ravinia Dr.), Dallas, TX 75211",(214) 330-5409,http://www.cesarstacos2go.com,,,
Whiskey Cake Kitchen & Bar,"3601 Dallas Pkwy, Plano, TX 75093",(972) 993-2253,https://www.whiskeycake.com/,,,
Smokey John's Bar-B-Que & Home Cooking,"1820 W Mockingbird Ln, Dallas, TX 75235",(214) 352-2752,https://smokeyjohns.com/,catering@smokeyjohns.comCall,Toast,
Rye,"1920 Greenville Ave, Dallas, TX 75206",(972) 803-3391,https://www.rye.restaurant/,,,Tock
